household_key,AGE_DESC,INCOME_DESC,MARITAL_STATUS_CODE,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,65+,35-49K,A,Homeowner,2 Adults No Kids,2,None/Unknown,820165,821815,826695,825123,840361,830127,831447,834631,835618,832990
2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,830127,916122,826784,1106523,940947,8090521,5569230,1133018,861272
3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,951590,865303,864615,921345,822407,998206,9526563,938700,937791
4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,823721,6773204,7466859,1013868,962229,1075368,951821,943030,6391541,936470
5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,899690,5568378,1050851,1071939,1003421,916122,874972,833715,1004596,992765
6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,820165,834484,840361,845208,6534178,1082185,863447,994928,1024306,12757544
7,45-54,50-74K,A,Homeowner,2 Adults No Kids,2,None/Unknown,834484,865178,883039,860776,6944571,1013321,1022003,1122358,1082185,828867
8,25-34,25-34K,U,Unknown,2 Adults Kids,3,1,840361,834484,830156,845307,872137,6534178,1116578,5569230,1082185,1012873
9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,856772,860776,948254,889692,9416729,952317,995242,10457112,824915,957741
10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1113588,945779,1133018,13506200,1068504,1107661,1088835,15596488,1111839,902377
11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,995242,1127831,823721,821867,821815,819312,820165,827656,823990,825123
12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1056509,1055863,887618,1055646,981760,1006184,1082185,1040807,995965,1124971
13,25-34,75-99K,U,Homeowner,2 Adults Kids,4,2,840361,859676,865501,867188,6534178,6544236,1038985,951590,1029743,1014238
14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,831509,6534178,833715,981760,1062966,1040371,1025611,5569471,959985,855310
15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,834484,860776,1065593,945779,1029743,845208,1070820,953278,1082185,968215
16,45-54,50-74K,B,Homeowner,Single Female,1,None/Unknown,6410462,2495324,2445642,2417516,13007710,2378842,2401601,9304088,2546277,2496543
17,65+,Under 15K,B,Homeowner,2 Adults No Kids,2,None/Unknown,820165,823990,837569,904360,6534178,982989,995785,1053763,833351,823176
18,45-54,100-124K,A,Homeowner,2 Adults No Kids,2,None/Unknown,840361,883621,857390,890882,867188,872137,6533889,1128477,909750,1010766
19,35-44,15-24K,B,Unknown,Single Female,1,None/Unknown,820165,840361,845307,849264,866227,847982,882138,904360,911162,860776
20,25-34,75-99K,A,Renter,2 Adults No Kids,2,None/Unknown,840361,905217,894360,6534178,865330,1128363,480014,397896,1055425,889618
21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,840361,6534178,6904419,9245462,1013321,1022843,1029743,839753,8011282,995242
22,45-54,75-99K,A,Homeowner,2 Adults No Kids,2,None/Unknown,827656,820165,834484,840361,849066,859676,6534178,944836,6978854,883003
23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6534178,1005274,1075368,1138858,1091520,1076306,953476,995242,958023,906335
24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,865456,999971,844165,903230,1036501,1113588,925514,1082185,908531,1118393
25,35-44,50-74K,U,Unknown,Unknown,1,None/Unknown,844818,861272,6534178,929018,1029743,938700,995242,826249,1075786,1118281
